姓名,聯盟,身份,年齡,身高,生日,NBA選秀年,NBA選秀順位,CBA選秀年,CBA選秀順位,選秀聯盟,選秀年,選秀順位,SBL選秀年,SBL選秀順位,2022_2023背號,2022_2023隊伍,2021_2022背號,2021_2022隊伍,2020_2021背號,2020_2021隊伍
劉 錚,CBA,本土,32,191,1990/11/24,,,,,,,,2011,總順位: 1,5,CBA 上海久事,5,CBA 上海久事,5,CBA 上海久事
陳盈駿,CBA,本土,29,182,1993/06/09,,,2017,總順位: 1,,,,,,9,CBA 廣州龍獅,9,CBA 廣州龍獅,9,CBA 廣州龍獅
林庭謙,CBA,本土,23,190,1999/10/31,,,2020,總順位: 3,,,,,,0,CBA 天津榮鋼,0,CBA 天津榮鋼,0,CBA 天津榮鋼
馬建豪,CBA,本土,21,202,2001/04/29,,,2022,總順位: 2,,,,,,1,CBA 江蘇肯蒂亞,,,,
許晉哲,PLG,總教練,49,,1973/04/27,,,,,,,,,,,PLG 臺北富邦勇士,,PLG 臺北富邦勇士,,PLG 臺北富邦勇士
林志傑,PLG,本土,40,192,1982/06/11,,,,,,,,,,12,PLG 臺北富邦勇士,12,PLG 臺北富邦勇士,12,PLG 臺北富邦勇士
蔡文誠,PLG,本土,37,190,1985/05/31,,,,,,,,,,14,PLG 臺北富邦勇士,14,PLG 臺北富邦勇士,14,PLG 臺北富邦勇士
張宗憲,PLG,本土,34,193,1988/12/27,,,,,,,,2016,總順位: 1,3,PLG 臺北富邦勇士,3,PLG 臺北富邦勇士,3,PLG 臺北富邦勇士
林孟學,PLG,本土,30,195,1992/10/14,,,,,,,,2015,總順位: 9,13,PLG 臺北富邦勇士,13,PLG 臺北富邦勇士,13,PLG 臺北富邦勇士
張文平,PLG,華裔,29,195,1993/07/14,,,,,,,,,,10,PLG 臺北富邦勇士,28,PLG 新北國王,,
呂宗霖,PLG,本土,28,175,1994/11/17,,,,,,,,2017,總順位: 8,7,PLG 臺北富邦勇士,0,SBL 高雄九太科技,,
謝宗融,PLG,本土,27,199,1995/08/16,,,,,,,,2017,總順位: 1,15,PLG 臺北富邦勇士,14,SBL 臺灣銀行,14,SBL 臺灣銀行
石博恩,PLG,外籍生,27,198,1995/10/05,,,,,,,,,,23,PLG 臺北富邦勇士,23,PLG 臺北富邦勇士,23,PLG 臺北富邦勇士
張耕淯,PLG,本土,27,188,1995/10/16,,,,,,,,,,29,PLG 臺北富邦勇士,29,PLG 臺北富邦勇士,29,PLG 桃園領航猿
賴廷恩,PLG,本土,26,176,1996/07/22,,,,,,,,2018,總順位: 3,0,PLG 臺北富邦勇士,0,PLG 臺北富邦勇士,0,PLG 臺北富邦勇士
簡廷兆,PLG,本土,25,183,1998/01/16,,,,,PLG,2022,總順位: 6,,,24,PLG 臺北富邦勇士,,,,
周桂羽,PLG,本土,24,192,1998/07/19,,,,,,,,,,8,PLG 臺北富邦勇士,8,PLG 臺北富邦勇士,8,PLG 臺北富邦勇士
曾祥鈞,PLG,本土,24,205,1998/08/08,,,,,,,,,,21,PLG 臺北富邦勇士,21,PLG 臺北富邦勇士,21,PLG 臺北富邦勇士
洪楷傑,PLG,本土,24,185,1998/10/07,,,,,PLG,2021,總順位: 3,,,11,PLG 臺北富邦勇士,11,PLG 新北國王,,
陳范柏彥,PLG,本土,23,196,2000/01/24,,,,,PLG,2022,總順位: 2,,,1,PLG 臺北富邦勇士,,,,
Chris Johnson,PLG,洋將,37,211,1985/07/17,2010,Rookie,,,,,,,,5,PLG 臺北富邦勇士,,,,
Michael Singletary,PLG,洋將,34,198,1988/09/19,,,,,,,,,,17,PLG 臺北富邦勇士,17,PLG 臺北富邦勇士,17,PLG 臺北富邦勇士
Ihor Zaytsev,PLG,洋將,33,211,1989/05/11,,,,,,,,,,32,PLG 臺北富邦勇士,32,PLG 臺北富邦勇士,32,PLG 臺北富邦勇士
Ryan Marchand,PLG,總教練,34,,1988/11/18,,,,,,,,,,,PLG 新北國王,,PLG 新北國王,,
Quincy Davis III,PLG,歸化,40,203,1983/02/16,,,,,,,,,,50,PLG 新北國王,50,PLG 新北國王,50,PLG 桃園領航猿
